questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,answerAlias,sortGroup,sortItems,eraCorrect,year,documentId,timelineGroup,imagePath
h_june3_046,history,大正デモクラシー,米騒動,1,choice,1918年、米の値上がりをきっかけに全国に広がった民衆運動を何というか。,米騒動,米騒動|五・四運動|三・一独立運動|自由民権運動,1918年、米の値段が急に上がったことをきっかけに、米騒動が全国へ広がった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_047,history,大正デモクラシー,米騒動,2,choice,シベリア出兵を見越した米の買い占めなどで米価が上がり、全国に広がった運動はどれか。,米騒動,米騒動|護憲運動|五・四運動|廃藩置県,シベリア出兵を見こした米の買い占めで米価が上がり、米騒動が広がった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_048,history,大正デモクラシー,原敬,1,choice,米騒動の後、本格的な政党内閣を組織した人物は誰か。,原敬,原敬|吉野作造|レーニン|ウィルソン,米騒動の後、原敬が本格的な政党内閣を組織した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_049,history,大正デモクラシー,原敬,2,choice,原敬が中心となった政党はどれか。,立憲政友会,立憲政友会|立憲民政党|自由党|社会大衆党,原敬が中心となった政党は立憲政友会。原敬―立憲政友会で覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_050,history,大正デモクラシー,政党内閣,1,choice,政党を基礎として組織される内閣を何というか。,政党内閣,政党内閣|超然内閣|挙国一致内閣|軍部内閣,政党をもとにしてつくられる内閣を「政党内閣」という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_051,history,大正デモクラシー,大正デモクラシー,1,choice,大正時代に広がった、民主主義的な政治や社会を求める風潮を何というか。,大正デモクラシー,大正デモクラシー|自由民権運動|文明開化|富国強兵,大正時代に広がった、民主主義的な政治や社会を求める動きを大正デモクラシーという。,active,,,六月中3|前期期末,,,,,,,,
h_june3_052,history,大正デモクラシー,吉野作造,1,choice,民本主義を唱えた人物は誰か。,吉野作造,吉野作造|原敬|美濃部達吉|ウィルソン,吉野作造は民本主義を唱えた。吉野作造―民本主義で覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_053,history,大正デモクラシー,民本主義,1,choice,吉野作造が唱えた、民衆の意向を政治に反映させる考えを何というか。,民本主義,民本主義|民族自決|社会主義|国家主義,民本主義は、民衆の意向を政治に反映させようとする考え。吉野作造が唱えた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_055,history,大正デモクラシー,普通選挙法,1,choice,1925年、満25歳以上のすべての男子に衆議院議員の選挙権を認めた法律は何か。,普通選挙法,普通選挙法|治安維持法|国家総動員法|大日本帝国憲法,1925年の普通選挙法で、満25歳以上のすべての男子に衆議院議員の選挙権が認められた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_056,history,大正デモクラシー,普通選挙法,2,choice,普通選挙法によって衆議院議員の選挙権を得たのは、原則としてどのような人々か。,満25歳以上の男子,満25歳以上の男子|満20歳以上の男女|満25歳以上の男女|満20歳以上の男子,普通選挙法で選挙権を得たのは満25歳以上の男子。女性にはまだ選挙権がなかった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_057,history,大正デモクラシー,普通選挙法,2,choice,普通選挙法でなくなった選挙権の条件はどれか。,納税額による制限,納税額による制限|年齢による制限|国籍による制限|性別による制限,普通選挙法では納税額による制限がなくなったが、男子だけという性別の制限は残った。,active,,,六月中3|前期期末,,,,,,,,
h_june3_058,history,大正デモクラシー,治安維持法,1,choice,1925年、社会主義運動などを取り締まるために制定された法律は何か。,治安維持法,治安維持法|普通選挙法|国家総動員法|教育基本法,1925年、社会主義運動などを取り締まるために治安維持法が制定された。,active,,,六月中3|前期期末,,,,,,,,
h_june3_059,history,大正デモクラシー,1925年,2,choice,普通選挙法と同じ年に制定された法律はどれか。,治安維持法,治安維持法|国家総動員法|工場法|教育基本法,1925年には、普通選挙法と治安維持法の両方が制定された。セットで覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_060,history,大正デモクラシー,社会運動,1,choice,労働者が労働条件の改善などを求めて団結する組織を何というか。,労働組合,労働組合|国際連盟|政党内閣|ソビエト,労働者が団結して労働条件の改善を目指す組織が労働組合。,active,,,六月中3|前期期末,,,,,,,,
h_june3_061,history,大正デモクラシー,社会運動,1,choice,労働者が労働条件の改善を求めて行う運動を何というか。,労働運動,労働運動|民族運動|自由民権運動|尊王攘夷運動,労働者が賃金や労働条件の改善を求める運動を労働運動という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_062,history,大正デモクラシー,社会運動,1,choice,被差別部落の人々が差別からの解放を目指して1922年に結成した組織は何か。,全国水平社,全国水平社|国際連盟|立憲政友会|労働組合,1922年、被差別部落の人々が差別からの解放を目指して全国水平社を結成した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_063,history,大正デモクラシー,社会運動,2,choice,全国水平社が目指したこととして最も適切なものはどれか。,部落差別からの解放,部落差別からの解放|朝鮮の独立|中国の反日運動|普通選挙の廃止,全国水平社は、被差別部落の人々への差別をなくすことを目指した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_065,history,大正デモクラシー,関東大震災,1,choice,1923年、東京や横浜を中心に大きな被害を出した災害は何か。,関東大震災,関東大震災|濃尾地震|阪神・淡路大震災|東日本大震災,1923年、東京や横浜を中心に大きな被害を出したのが関東大震災。,active,,,六月中3|前期期末,,,,,,,,
h_june3_066,history,大正デモクラシー,関東大震災,2,choice,関東大震災が起こった年はどれか。,1923年,1923年|1918年|1925年|1929年,関東大震災は1923年。普通選挙法・治安維持法の1925年より2年前。,active,,,六月中3|前期期末,,,,,,,,
h_june3_067,history,大正デモクラシー,大衆文化,1,choice,1925年に日本で始まった新しい情報伝達手段はどれか。,ラジオ放送,ラジオ放送|テレビ放送|インターネット|衛星放送,日本でラジオ放送が始まったのは1925年。大衆文化が広がる時期の出来事。,active,,,六月中3|前期期末,,,,,,,,
h_june3_068,history,大正デモクラシー,大衆文化,2,choice,大正時代から昭和初期にかけて広がった大衆文化と関係が深いものはどれか。,ラジオや雑誌の普及,ラジオや雑誌の普及|寺子屋の普及|遣唐使の派遣|参勤交代,大正時代から昭和初期には、ラジオや雑誌などが広まり、大衆文化が発達した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_069,history,第一次世界大戦とロシア革命,時系列,2,sort,次の出来事を古い順に並べ替えなさい。,第一次世界大戦|ロシア革命|米騒動,,年を確認すると、第一次世界大戦1914年→ロシア革命1917年→米騒動1918年。,active,sort_june3_01,,六月中3|前期期末|時系列,,sort_june3_01,第一次世界大戦|ロシア革命|米騒動,,,,,
h_june3_070,history,国際協調と民族運動,時系列,2,sort,次の出来事を古い順に並べ替えなさい。,第一次世界大戦|三・一独立運動|国際連盟発足,,年を確認すると、第一次世界大戦1914年→三・一独立運動1919年→国際連盟発足1920年。,active,sort_june3_02,,六月中3|前期期末|時系列,,sort_june3_02,第一次世界大戦|三・一独立運動|国際連盟発足,,,,,
h_june3_071,history,大正デモクラシー,時系列,2,sort,次の出来事を古い順に並べ替えなさい。,米騒動|関東大震災|普通選挙法,,年を確認すると、米騒動1918年→関東大震災1923年→普通選挙法1925年。,active,sort_june3_03,,六月中3|前期期末|時系列,,sort_june3_03,米騒動|関東大震災|普通選挙法,,,,,
h_june3_072,history,国際協調と民族運動,時系列,2,sort,次の出来事を古い順に並べ替えなさい。,ロシア革命|三・一独立運動|ソビエト社会主義共和国連邦成立|関東大震災,,年を確認すると、ロシア革命1917年→三・一独立運動1919年→ソ連成立1922年→関東大震災1923年。,active,sort_june3_04,,六月中3|前期期末|時系列,,sort_june3_04,ロシア革命|三・一独立運動|ソビエト社会主義共和国連邦成立|関東大震災,,,,,
h_june3_073,history,第一次世界大戦とロシア革命,第一次世界大戦,1,choice,第一次世界大戦が始まった年はいつか。,1914年,1914年|1917年|1918年|1920年,第一次世界大戦は1914年に始まった。「1914＝第一次世界大戦開始」と覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_074,history,第一次世界大戦とロシア革命,第一次世界大戦,1,choice,第一次世界大戦が終わった年はいつか。,1918年,1918年|1914年|1917年|1920年,第一次世界大戦は1918年に終わった。1914年開始、1918年終了。,active,,,六月中3|前期期末,,,,,,,,
h_june3_075,history,第一次世界大戦とロシア革命,第一次世界大戦,1,choice,第一次世界大戦で、ドイツやオーストリアなどの側を何というか。,同盟国,同盟国|連合国|中立国|国際連盟,第一次世界大戦では、ドイツやオーストリアなどの側を同盟国、イギリスやフランスなどの側を連合国という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_076,history,第一次世界大戦とロシア革命,大戦景気,1,choice,第一次世界大戦中、日本で輸出が増えて起こった好景気を何というか。,大戦景気,大戦景気|バブル景気|神武景気|いざなぎ景気,第一次世界大戦中、日本は輸出が増えて景気がよくなった。これを大戦景気という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_077,history,第一次世界大戦とロシア革命,大戦景気,1,choice,第一次世界大戦中の好景気で急に大きな利益を得た人々を何と呼んだか。,成金,成金|華族|地主|士族,大戦景気で急に大きな利益を得た人々は「成金」と呼ばれた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_078,history,国際協調と民族運動,ベルサイユ条約,2,choice,ベルサイユ条約でドイツに課された内容として正しいものはどれか。,巨額の賠償金を課される,巨額の賠償金を課される|海外の植民地を増やす|国際連盟を脱退する|中国の山東省を領有する,ベルサイユ条約で、敗れたドイツには巨額の賠償金など厳しい条件が課された。,active,,,六月中3|前期期末,,,,,,,,
h_june3_079,history,国際協調と民族運動,国際連盟,2,choice,国際連盟の事務局次長として活躍した日本人は誰か。,新渡戸稲造,新渡戸稲造|吉野作造|原敬|伊藤博文,新渡戸稲造は、国際連盟の事務局次長として活躍した日本人。,active,,,六月中3|前期期末,,,,,,,,
h_june3_080,history,国際協調と民族運動,インドの民族運動,1,choice,インドでイギリスからの自治を求める運動を指導した人物は誰か。,ガンディー,ガンディー|レーニン|ウィルソン|孫文,インドではガンディーが、イギリスからの自治を求める運動を進めた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_081,history,国際協調と民族運動,インドの民族運動,1,choice,ガンディーが進めた運動の方針として正しいものはどれか。,非暴力・不服従,非暴力・不服従|富国強兵|尊王攘夷|武力による革命,ガンディーは、暴力を使わず従わない「非暴力・不服従」の方針で運動を進めた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_082,history,国際協調と民族運動,ワシントン会議,1,choice,1921年、アメリカの提唱で開かれた国際会議は何か。,ワシントン会議,ワシントン会議|パリ講和会議|ロンドン会議|ヤルタ会談,1921年、アメリカの提唱でワシントン会議が開かれ、軍縮などが話し合われた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_083,history,国際協調と民族運動,ワシントン会議,2,choice,ワシントン会議で結ばれ、日英同盟が廃止されることになった条約は何か。,四か国条約,四か国条約|九か国条約|海軍軍縮条約|ベルサイユ条約,ワシントン会議で結ばれた四か国条約によって、日英同盟は廃止されることになった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_084,history,国際協調と民族運動,ワシントン会議,1,choice,ワシントン会議で結ばれ、各国の海軍の軍備縮小を決めた条約は何か。,海軍軍縮条約,海軍軍縮条約|九か国条約|四か国条約|不戦条約,ワシントン会議では、海軍の軍備を減らすための海軍軍縮条約が結ばれた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_085,history,国際協調と民族運動,ワシントン会議,2,choice,ワシントン会議で結ばれ、中国の領土と主権の尊重などを定めた条約は何か。,九か国条約,九か国条約|四か国条約|海軍軍縮条約|ベルサイユ条約,九か国条約では、中国の領土と主権を尊重することなどが決められた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_086,history,国際協調と民族運動,中国の民族運動,1,choice,中国国民党を結成し、中国の統一を目指した人物は誰か。,孫文,孫文|袁世凱|蒋介石|毛沢東,孫文は中国国民党を結成し、中国の統一を目指した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_087,history,大正デモクラシー,第二次護憲運動,1,choice,1924年、立憲政治を守ることを求めて起こった運動を何というか。,第二次護憲運動,第二次護憲運動|自由民権運動|五・四運動|三・一独立運動,1924年、立憲政治を守ることを求めて第二次護憲運動が起こった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_088,history,大正デモクラシー,社会運動,1,choice,労働者が賃金や労働条件の改善を求めて起こした争いを何というか。,労働争議,労働争議|小作争議|米騒動|護憲運動,労働者が賃金や労働条件の改善を求めて行う争いを労働争議という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_089,history,大正デモクラシー,社会運動,1,choice,小作人が地主に対して小作料の引き下げなどを求めて起こした争いを何というか。,小作争議,小作争議|労働争議|米騒動|自由民権運動,小作人が地主に小作料の引き下げなどを求める争いを小作争議という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_090,history,大正デモクラシー,女性運動,1,choice,女性の政治参加などを求めて平塚らいてうや市川房枝らが結成した団体は何か。,新婦人協会,新婦人協会|全国水平社|立憲政友会|国際連盟,平塚らいてうや市川房枝らは、女性の政治参加などを求めて新婦人協会を結成した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_091,history,大正デモクラシー,女性運動,2,choice,新婦人協会の結成に関わった人物の組み合わせとして正しいものはどれか。,平塚らいてう・市川房枝,平塚らいてう・市川房枝|吉野作造・原敬|レーニン・ウィルソン|孫文・ガンディー,新婦人協会の結成に関わったのは平塚らいてうと市川房枝。女性運動とセットで覚えよう。,active,,,六月中3|前期期末,,,,,,,,
