questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags
earth_032,earth_science,気象観測,湿度の計算,1,choice,気温20℃での飽和水蒸気量が17.3g/m3のとき、空気1m3中に8.65gの水蒸気を含む場合の湿度は何%か。,50%,25%|50%|75%|100%,湿度(%)=水蒸気量÷飽和水蒸気量×100=8.65÷17.3×100=50%です。,active,,,
earth_033,earth_science,気象観測,風向,1,text,風がふいてくる方向を何というか。,風向,,風向は風がふいてくる方角で表します(ふいていく方向ではありません)。,active,,,
earth_034,earth_science,気象観測,雲量,1,choice,空全体を10としたときの、雲がおおっている割合を何というか。,雲量,雲量|湿度|気圧|風力,空全体に対する雲がしめる割合を雲量といい、天気の判断に使われます。,active,,,
earth_035,earth_science,気象観測,百葉箱,1,text,気温や湿度を正しく観測するために、直射日光や雨を防いで風通しをよくした白い箱を何というか。,百葉箱,,百葉箱は直射日光を避け、地上約1.5mで気温を測れるようにした観測装置です。,active,,,
earth_036,earth_science,天気の変化,高気圧,1,text,周囲より気圧が高いところを何というか。,高気圧,,高気圧の中心付近では下降気流が生じ、晴れることが多いです。,active,,,
earth_037,earth_science,天気の変化,低気圧,1,choice,周囲より気圧が低く、中心付近に上昇気流が生じて雲ができやすいところを何というか。,低気圧,高気圧|低気圧|気団|前線,低気圧の中心付近では上昇気流が生じ、雲ができやすくなります。,active,,,
earth_038,earth_science,天気の変化,寒冷前線,1,text,寒気が暖気の下にもぐりこみながら進む前線を何というか。,寒冷前線,,寒気が暖気を押し上げながら進む前線を寒冷前線といいます。,active,,,
earth_039,earth_science,天気の変化,停滞前線,1,choice,寒気と暖気の勢力がほぼ同じで、ほとんど動かない前線を何というか。,停滞前線,温暖前線|寒冷前線|停滞前線|閉塞前線,梅雨前線のように、ほとんど動かない前線を停滞前線といいます。,active,,,
earth_040,earth_science,天気の変化,閉塞前線,1,text,寒冷前線が温暖前線に追いついてできる前線を何というか。,閉塞前線,,寒冷前線が温暖前線に追いつくと閉塞前線ができます。,active,,,
earth_041,earth_science,天気の変化,気団,1,text,気温や湿度がほぼ一様な、大規模な空気のかたまりを何というか。,気団,,広い範囲で気温・湿度がほぼ一様な空気のかたまりを気団といいます。,active,,,
earth_042,earth_science,天気の変化,季節風,1,text,季節によって特定の向きにふく風を何というか。,季節風,,日本では夏は南東、冬は北西の季節風がふきます。,active,,,
earth_043,earth_science,天気の変化,台風,1,choice,熱帯地方の海上で発生した熱帯低気圧のうち、最大風速が一定以上に発達したものを何というか。,台風,台風|前線|気団|寒冷渦,熱帯低気圧が発達して最大風速が約17m/s以上になったものを台風といいます。,active,,,
earth_044,earth_science,天体,公転,1,text,地球が太陽のまわりを1年かけて1周することを何というか。,公転,,地球は太陽のまわりを1年かけて公転しています。,active,,,
earth_045,earth_science,天体,日周運動,1,choice,地球の自転によって、太陽や星が1日で東から西へ動いて見える見かけの運動を何というか。,日周運動,日周運動|年周運動|公転|自転,地球の自転により、天体が1日で東から西へ動いて見える運動を日周運動といいます。,active,,,
earth_046,earth_science,天体,年周運動,1,text,地球の公転によって、星座が1年かけて同じ位置に戻って見える見かけの運動を何というか。,年周運動,,地球の公転により、星座は1年かけて元の位置に戻って見えます(年周運動)。,active,,,
earth_047,earth_science,天体,金星,1,choice,地球より内側を公転しており、真夜中には見ることができない惑星はどれか。,金星,金星|火星|木星|土星,金星は地球より内側(太陽に近い側)を公転しているため、真夜中には見えません。,active,,,
earth_048,earth_science,天体,恒星,1,text,太陽のように、みずから光を出して輝く天体を何というか。,恒星,,太陽のようにみずから光を出す天体を恒星といいます。,active,,,
earth_049,earth_science,天体,太陽系,1,text,太陽と、太陽を中心に公転する惑星などの天体の集まりを何というか。,太陽系,,太陽を中心とした天体の集まり全体を太陽系といいます。,active,,,
earth_050,earth_science,天体,星座の年周運動,1,choice,同じ時刻に同じ星座を観察し続けると、星座はどの方向に動いて見えるか。,東から西,東から西|西から東|北から南|南から北,地球の公転により、同じ時刻に見える星座は東から西へ少しずつ移動して見えます。,active,,,
earth_051,earth_science,地震,震度,1,text,ある観測地点での地震のゆれの大きさを表す指標を何というか。,震度,,震度は、それぞれの観測地点でのゆれの大きさを表す指標です。,active,,,
earth_052,earth_science,地震,震度とマグニチュードの違い,1,choice,1つの地震について、震度とマグニチュードの関係として正しいものはどれか。,マグニチュードは1つだが、震度は観測地点によって異なる,マグニチュードは1つだが、震度は観測地点によって異なる|震度は1つだが、マグニチュードは観測地点によって異なる|震度とマグニチュードは常に同じ値になる|マグニチュードは震度から自動的に計算される,1つの地震のマグニチュードは1つに決まりますが、震度は震源からの距離などにより観測地点ごとに異なります。,active,,,
earth_053,earth_science,地層と化石,重なりの法則,1,choice,地層が大きく乱されていない場合、下にある層と上にある層では、一般にどちらが古い地層といえるか。,下にある層,下にある層|上にある層|どちらも同じ年代|判断できない,地層は下から順に堆積するため、乱されていなければ下にある層ほど古くなります。,active,,,
earth_054,earth_science,地層と化石,整合,1,text,地層が連続して途切れることなく積み重なっている関係を何というか。,整合,,堆積が途切れず連続して重なった地層の関係を整合といいます。,active,,,
earth_055,earth_science,地層と化石,不整合,1,text,地層の堆積が長期間中断し侵食を受けたあと、再び堆積が起こってできた地層の重なり方の境界を何というか。,不整合,,堆積の中断と侵食をはさんで重なった地層の関係を不整合といいます。,active,,,
