questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,answerAlias,sortGroup,sortItems,eraCorrect,year,documentId,timelineGroup,imagePath
r8_civics_const_021,civics,法に基づく政治と日本国憲法,アメリカ独立宣言,1,choice,1776年にアメリカで出された宣言,アメリカ独立宣言,アメリカ独立宣言|フランス人権宣言|世界人権宣言|ポツダム宣言,1776年にアメリカ独立宣言が出されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_022,civics,法に基づく政治と日本国憲法,フランス人権宣言,1,choice,1789年にフランスで出された宣言,フランス人権宣言,フランス人権宣言|アメリカ独立宣言|世界人権宣言|権利の章典,1789年にフランス人権宣言が出されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_023,civics,法に基づく政治と日本国憲法,ワイマール憲法,1,choice,1919年にドイツで制定された憲法,ワイマール憲法,ワイマール憲法|日本国憲法|大日本帝国憲法|マグナ＝カルタ,1919年にドイツでワイマール憲法が制定されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_024,civics,法に基づく政治と日本国憲法,世界人権宣言,1,choice,1948年に国連から出された宣言,世界人権宣言,世界人権宣言|アメリカ独立宣言|フランス人権宣言|子どもの権利条約,1948年に国際連合で世界人権宣言が採択されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_025,civics,法に基づく政治と日本国憲法,自由権,1,choice,自由権には大きく３種類ある。それぞれ答えなさい。,精神の自由、生命・身体の自由、経済活動の自由,精神の自由、生命・身体の自由、経済活動の自由|思想の自由、社会権、参政権|生命の自由、平等権、請求権|経済活動の自由、社会権、環境権,原プリントの答えは「精神の自由、生命・身体の自由、経済活動の自由」です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_026,civics,法に基づく政治と日本国憲法,法の下の平等,1,choice,日本国憲法は、〇〇下の平等を掲げている。〇に入る言葉は。,法,法|憲法|政治|権利,日本国憲法では法の下の平等が定められています。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_027,civics,法に基づく政治と日本国憲法,部落差別,1,choice,被差別部落出身者に対して職業選択の自由や婚姻の自由が保障されていないこと,部落差別,部落差別|男女差別|人種差別|障害者差別,原プリントではこの説明の答えを部落差別としています。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_028,civics,法に基づく政治と日本国憲法,男女雇用機会均等法,1,choice,1985年に制定された女性差別をなくすことについての法律。,男女雇用機会均等法,男女雇用機会均等法|男女共同参画社会基本法|労働基準法|障害者差別解消法,1985年に男女雇用機会均等法が制定されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_029,civics,法に基づく政治と日本国憲法,男女共同参画社会基本法,1,choice,1999年にだれでも男女が協力していくことをすすめた法律。,男女共同参画社会基本法,男女共同参画社会基本法|男女雇用機会均等法|労働基準法|民法,1999年に男女共同参画社会基本法が制定されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_030,civics,法に基づく政治と日本国憲法,バリアフリー,1,choice,点字など、障がいがある人にとっての社会的障壁を取り除く工夫,バリアフリー,バリアフリー|ユニバーサルデザイン|ノーマライゼーション|情報モラル,社会的な障壁を取り除く工夫をバリアフリーといいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_031,civics,法に基づく政治と日本国憲法,ユニバーサルデザイン,1,choice,年齢、性別、文化の違い、障害の有無にかかわらず、「最初から誰もが使いやすいように設計する」というデザインの考え方,ユニバーサルデザイン,ユニバーサルデザイン|バリアフリー|ノーマライゼーション|プライバシーの権利,年齢や性別、障害の有無などにかかわらず、最初から誰もが使いやすいように設計する考え方をユニバーサルデザインといいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_032,civics,法に基づく政治と日本国憲法,生存権,1,choice,すべて国民は、健康で文化的な最低限度の生活を営む権利を有する、と憲法で定められている人権を何と言うか。,生存権,生存権|教育を受ける権利|勤労の権利|環境権,健康で文化的な最低限度の生活を営む権利を生存権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_033,civics,法に基づく政治と日本国憲法,教育を受ける権利,1,choice,だれもが学校に行き、教育を受けられる権利,教育を受ける権利,教育を受ける権利|勤労の権利|生存権|参政権,だれもが教育を受けられる権利を教育を受ける権利といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_034,civics,法に基づく政治と日本国憲法,勤労の権利,1,choice,人々に働く機会を与える権利,勤労の権利,勤労の権利|団結権|参政権|請求権,原プリントの答えは「勤労の権利」です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_035,civics,法に基づく政治と日本国憲法,労働基準法,1,choice,労働時間などの労働条件の基準を決めている法律,労働基準法,労働基準法|労働組合法|労働関係調整法|男女雇用機会均等法,労働条件の最低基準などを定める法律が労働基準法です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_036,civics,法に基づく政治と日本国憲法,団結権,1,choice,労働組合をつくる権利,団結権,団結権|団体交渉権|団体行動権|勤労の権利,労働者が労働組合をつくる権利を団結権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_037,civics,法に基づく政治と日本国憲法,団体交渉権,1,choice,使用者と対等な立場で労働条件について交渉する権利,団体交渉権,団体交渉権|団結権|団体行動権|請願権,使用者と労働条件について交渉する権利を団体交渉権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_038,civics,法に基づく政治と日本国憲法,団体行動権,1,choice,労働条件の要求を実現するためにストライキなどの団体行動をする権利,団体行動権,団体行動権|団体交渉権|団結権|参政権,ストライキなどの団体行動をする権利を団体行動権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_039,civics,法に基づく政治と日本国憲法,参政権,1,choice,政治に参加する権利,参政権,参政権|選挙権|請願権|請求権,政治に参加する権利を参政権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_040,civics,法に基づく政治と日本国憲法,選挙権,1,choice,満18歳以上に選挙も参加することができる権利,選挙権,選挙権|被選挙権|参政権|請願権,選挙で代表者を選ぶ権利を選挙権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_041,civics,法に基づく政治と日本国憲法,被選挙権,1,choice,選挙に立候補することができる権利,被選挙権,被選挙権|選挙権|参政権|請願権,選挙に立候補することができる権利を被選挙権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_042,civics,法に基づく政治と日本国憲法,請願権,1,choice,国や地方公共団体に法律や条例の制定など政治についての希望を述べる権利,請願権,請願権|請求権|参政権|選挙権,国や地方公共団体に希望を述べる権利を請願権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_043,civics,法に基づく政治と日本国憲法,請求権,1,choice,人権が侵害されたときのために、国に対して、救済を求める権利,請求権,請求権|請願権|参政権|生存権,人権を侵害された場合などに国へ救済を求める権利を請求権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_044,civics,法に基づく政治と日本国憲法,国家賠償請求権,1,choice,公務員の不法行為によって損害を受けた人が、国や地方公共団体に対して損害の賠償を求める権利,国家賠償請求権,国家賠償請求権|刑事補償請求権|請願権|請求権,公務員の不法行為による損害について賠償を求める権利が国家賠償請求権です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_045,civics,法に基づく政治と日本国憲法,刑事補償請求権,1,choice,刑事裁判で無罪になった人が、拘束されていた間の補償を国に求める権利,刑事補償請求権,刑事補償請求権|国家賠償請求権|請願権|請求権,無罪となった人が拘束されていた期間の補償を求める権利を刑事補償請求権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_046,civics,法に基づく政治と日本国憲法,知る権利,1,choice,国や地方公共団体の活動の情報を得る権利,知る権利,知る権利|プライバシーの権利|環境権|自己決定権,国や地方公共団体の活動について情報を得る権利を知る権利といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_047,civics,法に基づく政治と日本国憲法,プライバシーの権利,1,choice,私生活が他人から干渉されない権利,プライバシーの権利,プライバシーの権利|知る権利|環境権|自己決定権,私生活に不当に干渉されない権利をプライバシーの権利といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_048,civics,法に基づく政治と日本国憲法,環境権,1,choice,健全で恵み豊かな環境を保障される権利,環境権,環境権|生存権|知る権利|自己決定権,健全で恵み豊かな環境を保障される権利を環境権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_049,civics,法に基づく政治と日本国憲法,自己決定権,1,choice,自分の考え方に従って生き方や生活スタイルを決定する自由が保障される権利,自己決定権,自己決定権|プライバシーの権利|環境権|知る権利,自分の生き方などを自分で決める権利を自己決定権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_050,civics,法に基づく政治と日本国憲法,国際人権規約,1,choice,1966年に世界人権宣言の内容を実現するために採択された規約,国際人権規約,国際人権規約|世界人権宣言|子どもの権利条約|国際連合憲章,1966年に国際人権規約が採択されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_051,civics,法に基づく政治と日本国憲法,子どもの権利条約,1,choice,国際連合から出された子どもの生きる権利、育つ権利、守られる権利、参加する権利からなる権利を保障した条約,子ども（児童）の権利条約,子ども（児童）の権利条約|国際人権規約|世界人権宣言|児童福祉法,子どもの生きる・育つ・守られる・参加する権利などを保障する条約です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_052,civics,法に基づく政治と日本国憲法,公共の福祉,1,choice,人権が制限されることがあり、限界のあることを社会全体の利益をさす〇〇〇〇という言葉であらわしている。〇〇〇〇に入る言葉を何と言うか。,公共の福祉,公共の福祉|基本的人権|法の支配|国民主権,人権同士の調整などのための考え方を公共の福祉といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_053,civics,法に基づく政治と日本国憲法,国民の義務,1,choice,国民の義務３つを書きなさい。,勤労の義務、納税の義務、子どもに普通教育を受けさせる義務,勤労の義務、納税の義務、子どもに普通教育を受けさせる義務|勤労の義務、投票の義務、納税の義務|納税の義務、兵役の義務、教育を受ける義務|勤労の義務、参政の義務、教育を受ける義務,原プリントの答えは「勤労の義務、納税の義務、子どもに普通教育を受けさせる義務」です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_001,civics,私たちが生きる現代社会,現代社会,1,choice,子どもが少なくなり、高齢者の割合が増える現象,少子高齢化,少子高齢化|情報化|グローバル化|高齢社会,子どもが少なくなり、高齢者の割合が増える現象を少子高齢化といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_002,civics,私たちが生きる現代社会,少子高齢化,1,choice,人口が減らない最低限の合計特殊出生率は何％（整数）,2％,2％|1％|3％|4％,原プリントの答えは2％です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_003,civics,私たちが生きる現代社会,情報化,1,choice,社会の中で情報が大きなはたらきをもつようになること,情報化,情報化|少子高齢化|グローバル化|国際化,社会の中で情報が大きなはたらきをもつようになることを情報化といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_004,civics,私たちが生きる現代社会,情報通信技術,1,choice,コンピューター、スマートフォンなどの情報端末、インターネットなどの通信技術が一体となって進んできたものをなにというか。,情報通信技術（ICT）,情報通信技術（ICT）|人工知能（AI）|IoT|情報リテラシー,情報通信技術はICTとも呼ばれます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_005,civics,私たちが生きる現代社会,人工知能,1,choice,人工知能をアルファベットで何と言うか。,AI,AI|ICT|IoT|SDGs,人工知能はAIと表します。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_006,civics,私たちが生きる現代社会,IoT,1,choice,インターネットと人やモノをつなげて情報を集めたり、遠隔操作するなどの仕組み,IoT,IoT|AI|ICT|SDGs,インターネットと人やモノをつなぐ仕組みをIoTといいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_007,civics,私たちが生きる現代社会,情報リテラシー,1,choice,情報を正しく判断して利用・活用する力,情報リテラシー,情報リテラシー|情報モラル|ICT|IoT,情報を正しく判断して利用・活用する力を情報リテラシーといいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_008,civics,私たちが生きる現代社会,情報モラル,1,choice,情報を使う考え方・態度,情報モラル,情報モラル|情報リテラシー|AI|ICT,情報を使うときの考え方や態度を情報モラルといいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_009,civics,私たちが生きる現代社会,SDGs,1,choice,2030年の達成を目指して進めている国際連合から出されている目標,持続可能な開発目標（SDGs）,持続可能な開発目標（SDGs）|ミレニアム開発目標|パリ協定|世界人権宣言,2030年の達成を目指す目標を持続可能な開発目標（SDGs）といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_010,civics,私たちが生きる現代社会,年中行事,1,choice,毎年決まった時期に行われる行事,年中行事,年中行事|二十四節季|七十二候|伝統文化,毎年決まった時期に行われる行事を年中行事といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_011,civics,私たちが生きる現代社会,二十四節季,1,choice,日本の季節を２４に分けたもの,二十四節季,二十四節季|七十二候|年中行事|社会集団,日本の季節を24に分けたものを二十四節季といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_012,civics,私たちが生きる現代社会,七十二候,1,choice,日本の季節を７２に分けたもの,七十二候,七十二候|二十四節季|年中行事|社会集団,日本の季節を72に分けたものを七十二候といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_013,civics,私たちが生きる現代社会,社会集団,1,choice,家族や地域社会などの人間が所属している集団,社会集団,社会集団|社会保障|地方公共団体|利益集団,家族や地域社会など、人間が所属している集団を社会集団といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_014,civics,私たちが生きる現代社会,多数決,1,choice,より多くの人が賛成した意見を採用する,多数決,多数決|効率|公正|合意,より多くの人が賛成した意見を採用する方法を多数決といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_015,civics,私たちが生きる現代社会,効率,1,choice,みんなの労力や時間、お金やものがむだなく使われているという考え方,効率,効率|公正|多数決|合意,労力・時間・お金・ものをむだなく使うという考え方が効率です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_society_016,civics,私たちが生きる現代社会,公正,1,choice,対等に話し合っている、差別的なあつかいをしていない、立場が変わっても受け入れられるなどの考え方,公正,公正|効率|多数決|合意,対等さや差別のない扱いなどを重視する考え方が公正です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_add_011,civics,私たちが生きる現代社会,ICT,2,choice,ICTは日本語で何というか。,情報通信技術,情報通信技術|人工知能|情報リテラシー|情報モラル,ICTは情報通信技術を表します。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_012,civics,私たちが生きる現代社会,AI,2,choice,AIは日本語で何というか。,人工知能,人工知能|情報通信技術|情報モラル|情報リテラシー,AIは人工知能を表します。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_013,civics,私たちが生きる現代社会,IoT,2,choice,IoTの説明として正しいものはどれか。,インターネットと人やモノをつなぐ仕組み,インターネットと人やモノをつなぐ仕組み|情報を正しく判断する力|人工知能のこと|国連が定めた目標,IoTはインターネットと人やモノをつなぐ仕組みです。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_014,civics,私たちが生きる現代社会,情報,2,choice,「情報を正しく判断して利用・活用する力」と「情報を使う考え方・態度」の組み合わせとして正しいものはどれか。,情報リテラシー・情報モラル,情報リテラシー・情報モラル|情報モラル・情報リテラシー|ICT・AI|AI・IoT,情報リテラシーは活用する力、情報モラルは情報を使う考え方・態度です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_015,civics,私たちが生きる現代社会,SDGs,2,choice,持続可能な開発目標（SDGs）が達成を目指している年はいつか。,2030年,2030年|2025年|2040年|2050年,SDGsは2030年の達成を目指しています。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_016,civics,私たちが生きる現代社会,季節,2,choice,日本の季節を24に分けたものと72に分けたものの組み合わせとして正しいものはどれか。,二十四節季・七十二候,二十四節季・七十二候|七十二候・二十四節季|年中行事・七十二候|二十四節季・年中行事,原プリントでは24に分けたものを二十四節季、72に分けたものを七十二候としています。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_017,civics,私たちが生きる現代社会,多数決,2,choice,多数決を行うときに特に大切なことはどれか。,少数意見を尊重して十分に議論する,少数意見を尊重して十分に議論する|少数意見を無視する|最初から多数派だけで決める|話し合いを行わない,多数決の前には少数意見を尊重して議論することが重要です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_018,civics,私たちが生きる現代社会,効率と公正,2,choice,労力・時間・お金などをむだなく使うことを重視する考え方はどれか。,効率,効率|公正|多数決|尊重,むだなく資源を使うという観点が効率です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_019,civics,私たちが生きる現代社会,効率と公正,2,choice,差別的な扱いをせず、立場が変わっても受け入れられることを重視する考え方はどれか。,公正,公正|効率|多数決|情報モラル,対等さや差別のない扱いを重視する考え方が公正です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_020,civics,法に基づく政治と日本国憲法,民主主義,2,choice,民主主義の考え方として最も適切なものはどれか。,みんなのことはみんなで決める,みんなのことはみんなで決める|少数の人だけで決める|国王だけで決める|法律をなくして決める,民主主義は、みんなのことはみんなで決めるという考え方です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_021,civics,法に基づく政治と日本国憲法,立憲主義,2,choice,立憲主義が必要とされる主な目的はどれか。,権力の濫用を防ぐため,権力の濫用を防ぐため|国民の権利をなくすため|少数の人だけで政治を行うため|法律をなくすため,立憲主義は憲法によって政治権力を制限する考え方です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_022,civics,法に基づく政治と日本国憲法,法の支配,2,choice,法の支配では、政治権力をもつ人は法に従う必要があるか。,従う必要がある,従う必要がある|従う必要はない|国王だけは従わなくてよい|裁判官だけは従わなくてよい,法の支配では権力をもつ人も法に従います。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_023,civics,法に基づく政治と日本国憲法,権力分立,2,choice,権力分立の目的として最も適切なものはどれか。,権力を分けて互いに抑制と均衡をはかる,権力を分けて互いに抑制と均衡をはかる|すべての権力を1人に集める|国民の権利を制限する|多数決を禁止する,権力分立では権力を分割し、互いに抑制と均衡をはかります。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_024,civics,法に基づく政治と日本国憲法,憲法,2,choice,日本で1889年に制定された憲法と、1946年11月3日に公布された憲法の組み合わせとして正しいものはどれか。,大日本帝国憲法・日本国憲法,大日本帝国憲法・日本国憲法|日本国憲法・大日本帝国憲法|ワイマール憲法・日本国憲法|大日本帝国憲法・ワイマール憲法,1889年は大日本帝国憲法、1946年11月3日は日本国憲法です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_025,civics,法に基づく政治と日本国憲法,主権,2,choice,大日本帝国憲法と日本国憲法の主権の違いとして正しいものはどれか。,大日本帝国憲法は天皇主権、日本国憲法は国民主権,大日本帝国憲法は天皇主権、日本国憲法は国民主権|両方とも天皇主権|両方とも国民主権|大日本帝国憲法は国民主権、日本国憲法は天皇主権,大日本帝国憲法では天皇主権、日本国憲法では国民主権です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_026,civics,法に基づく政治と日本国憲法,基本原則,1,choice,日本国憲法の3つの基本原則のうち、政治の最終的な決定権が国民にあるという原則は何か。,国民主権,国民主権|基本的人権の尊重|平和主義|天皇主権,政治の最終的な決定権が国民にあるという原則が国民主権です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_027,civics,法に基づく政治と日本国憲法,基本原則,1,choice,日本国憲法の3つの基本原則のうち、人間が生まれながらにもつ権利を大切にする原則は何か。,基本的人権の尊重,基本的人権の尊重|国民主権|平和主義|天皇主権,基本的人権を大切にする原則が基本的人権の尊重です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_028,civics,法に基づく政治と日本国憲法,基本原則,1,choice,日本国憲法の3つの基本原則のうち、戦争をしないことを基本とする原則は何か。,平和主義,平和主義|国民主権|基本的人権の尊重|天皇主権,戦争をしないことを基本とする原則が平和主義です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_029,civics,法に基づく政治と日本国憲法,天皇,2,choice,日本国憲法で天皇はどのような地位にあるか。,日本国と日本国民統合の象徴,日本国と日本国民統合の象徴|主権者|内閣の長|国会の長,日本国憲法では天皇は日本国と日本国民統合の象徴です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_add_030,civics,法に基づく政治と日本国憲法,憲法改正,2,choice,憲法改正の国民投票に参加できるのは何歳以上の国民か。,18歳以上,18歳以上|20歳以上|25歳以上|30歳以上,原プリントでは18歳以上としています。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
r8_civics_add_031,civics,法に基づく政治と日本国憲法,立憲主義,2,choice,立憲主義の目的として最も適切なものはどれか。,憲法によって国家権力を制限し、権力の濫用を防ぐ,憲法によって国家権力を制限し、権力の濫用を防ぐ|国民の基本的人権を制限する|少数の人に政治権力を集中させる|法律より国王の命令を優先する,立憲主義は、憲法によって国家権力を制限し、権力の濫用を防ごうとする考え方です。,active,,,R8|中3|前期期末|追加問題,,,,,,,,
